0.34,0.55,10.09,-0.52,-2.44,-2.26
0.30,0.55,10.09,-0.61,-2.36,-1.95
0.28,0.54,10.08,-0.48,-2.02,-2.27
0.32,0.51,10.11,-0.38,-2.38,-2.52
0.27,0.52,10.06,-0.47,-2.40,-2.30
0.34,0.54,10.02,-0.49,-2.50,-2.17
0.27,0.55,10.12,-0.46,-2.29,-2.25
0.30,0.52,10.04,-0.36,-2.46,-2.07
0.28,0.56,10.07,-0.59,-2.38,-2.23
0.28,0.56,10.04,-0.34,-2.52,-2.28
0.31,0.56,10.06,-0.45,-2.60,-2.28
0.29,0.58,10.10,-0.33,-2.08,-2.32
0.31,0.53,10.15,-0.57,-2.33,-2.22
0.32,0.55,10.08,-0.65,-2.23,-2.37
0.26,0.55,10.04,-0.68,-2.24,-2.35
0.28,0.53,10.09,-0.56,-2.25,-2.43
0.31,0.57,10.16,-0.42,-2.15,-2.49
0.30,0.53,10.10,-0.53,-2.86,-2.08
0.30,0.56,10.11,-0.72,-2.25,-2.45
0.27,0.61,10.14,-0.64,-2.48,-2.28
0.28,0.60,10.04,-0.71,-2.32,-2.03
0.29,0.54,10.08,-0.38,-2.32,-2.29
0.29,0.53,10.09,-0.47,-2.43,-2.53
0.26,0.53,10.13,-0.63,-2.11,-2.18
0.27,0.56,10.11,-0.61,-2.39,-2.02
0.31,0.56,10.08,-0.69,-2.48,-2.24
0.30,0.53,10.12,-0.45,-2.36,-2.34
0.28,0.53,10.07,-0.58,-2.30,-2.04
0.29,0.54,10.16,-0.70,-2.05,-2.45
0.29,0.57,10.03,-0.66,-2.18,-2.37
0.33,0.53,10.10,-0.58,-2.54,-2.37
0.29,0.54,10.01,-0.39,-2.42,-2.07
0.31,0.53,10.06,-0.52,-2.25,-2.47
0.28,0.61,10.12,-0.69,-2.28,-2.34
0.30,0.54,10.08,-0.57,-2.55,-2.05
0.28,0.55,10.11,-0.52,-2.21,-2.24
0.29,0.57,10.12,-0.45,-2.17,-2.26
0.26,0.54,10.09,-0.41,-2.12,-2.02
0.29,0.57,10.12,-0.51,-2.60,-2.00
0.34,0.56,10.12,-0.63,-2.33,-2.16
0.32,0.57,10.11,-0.37,-2.15,-2.35
0.28,0.54,10.08,-0.58,-2.37,-2.29
0.29,0.56,10.07,-0.62,-2.57,-2.38
0.29,0.53,10.08,-0.53,-2.45,-2.05
0.28,0.57,10.07,-0.58,-2.45,-2.15
0.28,0.54,10.07,-0.43,-2.30,-2.15
0.28,0.55,10.11,-0.48,-2.28,-2.03
0.28,0.53,10.05,-0.43,-2.51,-2.18
0.29,0.56,10.12,-0.37,-2.45,-2.05
0.29,0.55,10.12,-0.64,-2.26,-2.22
0.28,0.56,10.11,-0.42,-1.92,-2.35
0.30,0.51,10.11,-0.50,-2.43,-2.23
0.32,0.54,10.12,-0.62,-2.40,-2.07
0.30,0.58,10.09,-0.51,-2.31,-2.19
0.32,0.52,10.07,-0.25,-2.22,-2.28
0.30,0.57,10.06,-0.44,-2.03,-2.03
0.33,0.58,10.13,-0.47,-2.02,-2.07
0.31,0.55,10.07,-0.42,-2.45,-2.28
0.28,0.55,10.11,-0.48,-1.98,-2.23
0.31,0.55,10.00,-0.73,-2.45,-2.35
0.30,0.57,10.09,-0.58,-2.18,-2.42
0.30,0.53,10.07,-0.59,-2.51,-2.29
0.30,0.51,10.04,-0.37,-2.38,-1.82
0.32,0.57,10.07,-0.59,-2.44,-2.24
0.30,0.53,10.10,-0.68,-2.13,-2.22
0.31,0.58,10.09,-0.55,-2.41,-2.29
0.31,0.53,10.13,-0.68,-2.25,-2.18
0.29,0.55,10.09,-0.35,-2.44,-2.16
0.27,0.58,10.05,-0.53,-2.41,-2.38
0.28,0.54,10.07,-0.48,-2.38,-2.07
0.32,0.60,10.07,-0.52,-2.44,-2.02
0.31,0.57,10.11,-0.53,-2.15,-2.35
0.32,0.54,10.08,-0.60,-2.29,-2.39
0.29,0.54,10.09,-0.71,-2.38,-1.95
0.30,0.55,10.07,-0.55,-2.19,-2.42
0.30,0.52,10.05,-0.60,-2.25,-2.37
0.31,0.55,10.08,-0.42,-2.50,-2.20
0.28,0.56,10.11,-0.62,-2.28,-2.39
0.30,0.52,10.10,-0.43,-2.08,-2.26
0.29,0.54,10.10,-0.66,-2.11,-1.92
0.28,0.55,10.10,-0.51,-2.34,-2.50
0.29,0.51,10.15,-0.48,-2.38,-2.48
0.35,0.57,10.15,-0.48,-2.35,-2.40
0.29,0.55,10.09,-0.68,-2.35,-2.24
0.25,0.57,10.09,-0.57,-2.43,-2.12
0.30,0.52,10.03,-0.98,-2.32,-2.21
0.31,0.55,10.11,-0.65,-2.38,-2.21
0.29,0.52,10.10,-0.34,-2.15,-1.97
0.31,0.48,10.07,-0.55,-2.27,-2.02
0.29,0.58,10.10,-0.59,-2.30,-2.14
0.30,0.58,10.11,-0.48,-2.18,-2.21
0.32,0.54,9.98,-0.56,-2.15,-2.19
0.28,0.57,10.10,-0.74,-2.45,-2.27
0.28,0.57,10.07,-0.50,-2.31,-2.12
0.30,0.55,10.07,-0.79,-2.18,-2.32
0.30,0.55,10.11,-0.54,-2.55,-2.00
0.29,0.57,10.08,-0.57,-2.56,-2.08
0.30,0.51,10.13,-0.68,-2.56,-2.29
0.31,0.52,10.12,-0.62,-2.32,-2.06
0.27,0.58,10.07,-0.58,-2.55,-2.14
0.30,0.56,10.07,-0.49,-2.51,-2.12
0.30,0.53,10.03,-0.56,-2.32,-2.05
0.29,0.53,10.09,-0.35,-2.49,-2.37
0.30,0.56,10.13,-0.60,-2.23,-1.95
